City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Flinders,AU,-34.58,150.86,64.0,63,54,5.01,broken clouds
169,Richards Bay,ZA,-28.78,32.04,71.91,85,94,14.83,overcast clouds
170,Puerto Del Rosario,ES,28.5,-13.86,69.8,73,0,8.05,clear sky
171,Riyadh,SA,24.69,46.72,60.8,41,0,8.1,clear sky
172,Barrow,US,71.29,-156.79,21.2,85,90,14.99,overcast clouds
173,Ostersund,SE,63.18,14.64,48.2,76,28,23.04,scattered clouds
174,Northam,GB,51.03,-4.22,42.01,88,3,3.0,clear sky
175,Lasa,IT,46.62,10.7,52.0,100,5,4.7,clear sky
176,Nizhniy Odes,RU,63.64,54.86,35.78,87,90,7.02,overcast clouds
177,San Vicente De Canete,PE,-13.08,-76.38,63.1,81,32,5.1,scattered clouds
178,Seoul,KR,37.57,126.98,50.0,71,90,3.4,overcast clouds
179,Trincomalee,LK,8.57,81.23,80.69,79,98,5.08,overcast clouds
180,Slave Lake,CA,55.28,-114.77,33.8,100,75,2.24,broken clouds
181,Horta,PT,38.53,-28.63,59.72,68,37,15.97,scattered clouds
182,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,81.7,71,85,2.06,overcast clouds
183,Victoria,HK,22.29,114.16,72.0,78,3,1.01,clear sky
184,Udimskiy,RU,61.14,45.91,37.54,95,100,11.27,moderate rain
185,Faanui,PF,-16.48,-151.75,79.63,81,1,17.27,clear sky
186,Nanzhou,CN,29.36,112.4,57.83,69,59,6.08,broken clouds
187,Touros,BR,-5.2,-35.46,78.8,83,20,8.05,few clouds
188,Husavik,IS,66.04,-17.34,44.6,48,90,18.34,light intensity drizzle
189,Hamilton,US,39.18,-84.53,61.0,55,1,3.36,clear sky
190,Provideniya,RU,64.38,-173.3,41.0,86,90,33.55,overcast clouds
191,Port Elizabeth,ZA,-33.92,25.57,62.6,93,0,2.24,clear sky
192,Geraldton,AU,-28.77,114.6,75.2,50,4,19.46,clear sky
193,Bathsheba,BB,13.22,-59.52,80.6,83,40,20.8,shower rain
194,Vardo,NO,70.37,31.11,33.8,84,75,10.29,broken clouds
195,Pangnirtung,CA,66.15,-65.71,8.6,50,40,8.05,scattered clouds
196,Gidam,IN,18.98,81.4,66.27,91,3,2.93,clear sky
197,Ghazipur,IN,25.58,83.57,62.83,41,0,3.65,clear sky
198,Coahuayana,MX,18.73,-103.68,84.2,58,40,5.82,scattered clouds
199,Weinan,CN,34.5,109.51,55.0,57,0,6.71,clear sky
200,Rocha,UY,-34.48,-54.33,53.62,92,34,6.51,scattered clouds
201,Buzmeyin,TM,38.05,58.21,48.2,39,0,2.24,clear sky
202,Seinajoki,FI,62.79,22.83,45.0,65,0,11.41,clear sky
203,Hirara,JP,24.8,125.28,78.8,94,75,11.41,shower rain
204,Cabo San Lucas,MX,22.89,-109.91,86.0,48,5,12.75,clear sky
205,Kirakira,SB,-10.45,161.92,86.09,65,92,3.11,light rain
206,San Quintin,MX,30.48,-115.95,76.03,45,82,7.05,broken clouds
207,Borogontsy,RU,62.67,131.17,-1.37,92,100,1.59,overcast clouds
208,Ondjiva,AO,-17.07,15.73,73.02,22,13,6.98,few clouds
209,Nemuro,JP,43.32,145.57,53.53,62,18,23.89,few clouds
210,Springdale,US,36.19,-94.13,71.6,56,1,6.93,clear sky
211,Okha,RU,53.57,142.95,28.71,92,100,26.55,overcast clouds
212,Mul,IN,20.07,79.67,61.5,56,0,4.65,clear sky
213,Iqaluit,CA,63.75,-68.51,15.8,72,90,16.11,light snow
